Timestamp,UserID,Role,Resource Accessed,Action,Location,MFA Used,Success,Risk Score
2025-04-02 08:31:33,u091,Employee,/email/inbox,download,UK,False,True,0.73
2025-04-04 01:41:03,u051,Contractor,/vpn/connect,upload,DE,True,False,0.99
2025-03-16 14:51:01,u093,Employee,/vpn/connect,download,US,True,False,0.58
2025-03-27 05:20:33,u070,Admin,/files/projectX.docx,download,CN,True,True,0.27
2025-04-08 11:21:39,u079,Contractor,/vpn/connect,download,UK,True,True,0.46
2025-04-07 05:49:46,u024,Admin,/dev/api,upload,DE,True,False,0.62
2025-04-03 07:27:54,u026,Employee,/email/inbox,upload,CN,False,False,0.4
2025-03-29 09:04:03,u060,Contractor,/email/inbox,logout,CN,True,True,0.74
2025-04-06 18:57:30,u057,Guest,/vpn/connect,delete,CN,False,True,0.15
2025-04-01 00:50:25,u072,Admin,/files/projectX.docx,logout,CN,False,False,0.14
2025-04-11 23:22:19,u064,Employee,/files/projectX.docx,delete,DE,True,True,0.72
2025-03-25 06:11:13,u038,Contractor,/email/inbox,download,US,True,True,0.95
2025-04-08 03:41:08,u032,Contractor,/dev/api,delete,UK,False,False,0.38
2025-03-21 09:56:54,u071,Admin,/email/inbox,login,DE,True,False,0.63
2025-03-28 08:02:51,u074,Admin,/vpn/connect,login,CN,False,False,0.88
2025-03-21 10:29:54,u032,Employee,/admin/panel,upload,DE,False,True,0.34
2025-03-19 06:10:07,u011,Guest,/admin/panel,upload,UK,True,True,0.86
2025-03-26 19:32:37,u028,Guest,/vpn/connect,login,UK,True,False,0.62
2025-04-09 12:09:51,u097,Contractor,/admin/panel,download,US,False,False,0.76
2025-04-12 20:56:58,u032,Employee,/admin/panel,upload,UK,False,True,0.47
2025-03-21 18:54:18,u085,Admin,/vpn/connect,logout,IN,True,False,0.9
2025-03-29 17:01:51,u093,Employee,/dev/api,login,CN,True,False,0.34
2025-03-19 10:45:01,u001,Contractor,/admin/panel,logout,IN,True,True,0.48
2025-03-18 05:35:56,u021,Employee,/email/inbox,logout,CN,False,True,0.05
2025-03-30 16:23:25,u059,Admin,/dev/api,login,CN,False,False,0.77
2025-04-06 13:46:08,u029,Contractor,/admin/panel,delete,CN,False,False,0.35
2025-04-10 19:54:46,u042,Guest,/files/projectX.docx,delete,IN,False,False,0.92
2025-03-19 13:00:29,u029,Contractor,/files/projectX.docx,download,US,True,True,0.17
2025-03-31 19:52:46,u088,Admin,/vpn/connect,delete,IN,False,True,0.03
2025-04-04 17:31:46,u097,Employee,/email/inbox,delete,IN,True,False,0.84
2025-03-30 00:04:43,u003,Contractor,/vpn/connect,download,DE,False,False,0.22
2025-04-13 07:25:03,u081,Employee,/files/projectX.docx,delete,UK,True,False,0.99
2025-03-24 13:54:59,u094,Contractor,/vpn/connect,upload,CN,True,False,0.83
2025-04-10 11:25:10,u066,Admin,/files/projectX.docx,login,UK,True,False,0.24
2025-04-06 19:26:22,u054,Admin,/admin/panel,logout,US,True,True,0.73
2025-04-05 03:27:28,u078,Employee,/admin/panel,login,UK,True,False,0.03
2025-04-08 23:06:13,u040,Contractor,/admin/panel,delete,IN,False,True,0.28
2025-03-27 07:10:41,u007,Contractor,/admin/panel,download,DE,True,True,0.63
2025-03-17 16:14:37,u065,Guest,/email/inbox,download,DE,False,True,0.47
2025-04-10 06:57:49,u072,Admin,/dev/api,logout,IN,False,True,0.62
2025-03-15 08:02:33,u016,Guest,/email/inbox,login,DE,False,False,0.03
2025-03-19 04:21:08,u007,Admin,/email/inbox,logout,UK,True,True,0.2
2025-04-03 00:20:45,u017,Guest,/email/inbox,login,CN,True,True,0.8
2025-03-14 17:00:51,u070,Employee,/dev/api,download,IN,False,True,0.53
2025-04-13 08:35:40,u061,Contractor,/email/inbox,logout,UK,False,True,0.32
2025-04-07 14:44:33,u021,Contractor,/admin/panel,download,DE,True,False,0.05
2025-03-30 19:48:48,u029,Employee,/email/inbox,delete,CN,False,False,0.53
2025-03-26 11:51:34,u011,Employee,/vpn/connect,delete,US,False,True,0.4
2025-03-30 10:34:23,u059,Admin,/dev/api,upload,US,False,False,0.95
2025-03-17 17:03:53,u011,Employee,/dev/api,logout,IN,True,True,0.42
2025-03-23 22:17:31,u079,Admin,/files/projectX.docx,upload,CN,True,False,0.89
2025-04-11 04:52:50,u061,Guest,/dev/api,login,IN,True,True,0.25
2025-03-25 09:59:11,u032,Guest,/vpn/connect,delete,IN,False,False,0.85
2025-03-26 05:41:25,u006,Employee,/dev/api,delete,IN,True,False,0.84
2025-03-21 13:42:02,u075,Contractor,/vpn/connect,login,US,True,True,0.37
2025-04-10 00:18:42,u076,Admin,/email/inbox,login,IN,False,False,0.59
2025-04-05 09:36:18,u044,Admin,/admin/panel,delete,DE,True,True,0.2
2025-03-19 01:57:25,u037,Contractor,/files/projectX.docx,login,UK,True,True,0.3
2025-03-18 13:24:32,u081,Employee,/files/projectX.docx,download,US,False,True,0.46
2025-03-30 04:34:24,u048,Employee,/files/projectX.docx,delete,UK,True,False,0.93
2025-04-08 07:28:35,u060,Employee,/admin/panel,upload,CN,True,False,0.01
2025-04-07 09:44:35,u059,Contractor,/email/inbox,upload,US,True,True,0.08
2025-03-19 22:44:39,u094,Employee,/files/projectX.docx,upload,UK,True,True,0.08
2025-03-29 06:53:37,u074,Admin,/email/inbox,upload,IN,False,True,0.86
2025-04-10 09:57:20,u037,Employee,/dev/api,logout,CN,False,False,0.66
2025-03-28 18:49:40,u024,Contractor,/vpn/connect,upload,IN,False,False,0.11
2025-03-20 17:05:52,u004,Employee,/admin/panel,upload,IN,False,False,0.44
2025-04-10 05:29:51,u078,Admin,/files/projectX.docx,login,DE,False,False,0.08
2025-03-30 19:21:54,u051,Admin,/dev/api,login,UK,False,True,0.92
2025-04-09 21:09:31,u040,Employee,/files/projectX.docx,logout,DE,True,False,0.81
2025-03-24 12:25:48,u040,Guest,/admin/panel,download,CN,False,False,0.55
2025-04-12 22:26:41,u098,Admin,/email/inbox,upload,UK,True,False,0.52
2025-04-10 05:15:07,u067,Guest,/files/projectX.docx,login,DE,True,True,0.89
2025-04-12 04:18:22,u009,Employee,/dev/api,login,DE,False,True,0.31
2025-03-28 14:49:40,u042,Employee,/vpn/connect,logout,UK,True,True,0.93
2025-04-05 06:07:57,u057,Employee,/files/projectX.docx,delete,DE,False,True,0.88
2025-03-19 02:26:30,u025,Admin,/admin/panel,upload,DE,False,True,0.78
2025-04-12 14:24:26,u088,Guest,/vpn/connect,delete,DE,True,True,0.51
2025-04-02 08:07:30,u035,Admin,/vpn/connect,login,CN,False,True,0.48
2025-03-30 01:04:08,u061,Contractor,/dev/api,download,DE,True,True,0.42
2025-04-11 14:21:53,u069,Guest,/email/inbox,login,IN,True,True,0.63
2025-03-26 09:45:29,u001,Employee,/files/projectX.docx,delete,CN,False,True,0.67
2025-03-28 17:56:28,u066,Contractor,/dev/api,login,UK,True,True,0.82
2025-03-23 13:54:19,u062,Admin,/dev/api,delete,US,True,False,0.24
2025-03-23 20:20:22,u016,Guest,/vpn/connect,logout,US,False,False,0.11
2025-03-23 17:14:18,u006,Guest,/dev/api,login,UK,False,True,0.27
2025-03-16 06:05:54,u032,Guest,/email/inbox,login,UK,True,True,0.2
2025-04-13 09:36:54,u098,Contractor,/admin/panel,login,DE,False,False,0.09
2025-03-27 06:40:12,u069,Employee,/vpn/connect,download,CN,True,False,0.67
2025-04-06 18:52:53,u078,Employee,/vpn/connect,delete,CN,False,False,0.09
2025-03-18 00:10:22,u021,Guest,/files/projectX.docx,delete,US,False,False,0.07
2025-03-19 00:20:08,u012,Employee,/admin/panel,upload,IN,False,True,0.52
2025-03-20 23:24:18,u065,Employee,/email/inbox,download,CN,True,False,0.06
2025-03-21 21:55:17,u053,Guest,/vpn/connect,logout,CN,True,False,0.7
2025-03-16 12:42:12,u084,Employee,/admin/panel,upload,IN,True,False,0.27
2025-03-18 13:10:43,u079,Admin,/email/inbox,upload,CN,False,False,0.1
2025-04-09 21:31:38,u042,Guest,/email/inbox,upload,US,True,False,0.84
2025-04-02 15:34:32,u041,Admin,/admin/panel,logout,IN,True,True,0.24
2025-04-09 02:51:20,u053,Employee,/dev/api,delete,UK,True,True,0.45
2025-03-28 00:49:11,u044,Guest,/email/inbox,login,DE,True,True,0.52
2025-04-08 23:36:44,u048,Contractor,/dev/api,download,IN,False,False,0.37
2025-03-26 02:03:43,u053,Guest,/dev/api,delete,IN,False,True,0.68
2025-03-25 02:24:37,u034,Guest,/files/projectX.docx,logout,DE,True,True,0.45
2025-04-12 06:51:03,u083,Contractor,/vpn/connect,login,IN,False,True,0.04
2025-04-04 00:20:46,u052,Admin,/vpn/connect,logout,US,False,False,0.87
2025-04-11 19:04:35,u095,Admin,/dev/api,upload,CN,False,True,0.85
2025-03-28 00:19:35,u083,Contractor,/email/inbox,logout,DE,True,True,0.4
2025-04-05 12:37:36,u078,Guest,/vpn/connect,logout,IN,True,False,0.25
2025-04-07 13:40:04,u046,Guest,/admin/panel,delete,DE,False,True,0.64
2025-04-01 00:02:46,u088,Admin,/dev/api,delete,UK,False,True,0.72
2025-03-18 15:39:15,u040,Guest,/email/inbox,logout,IN,False,False,0.14
2025-03-30 09:32:54,u026,Admin,/vpn/connect,upload,CN,False,False,0.81
2025-04-13 09:37:36,u036,Admin,/email/inbox,login,UK,False,False,0.25
2025-03-20 06:04:29,u004,Guest,/vpn/connect,delete,US,False,True,0.83
2025-04-07 06:25:52,u087,Contractor,/files/projectX.docx,download,US,True,True,0.91
2025-04-12 03:40:27,u067,Employee,/vpn/connect,login,IN,True,True,0.7
2025-03-30 22:18:04,u085,Contractor,/vpn/connect,login,US,True,False,0.39
2025-03-23 21:29:24,u095,Employee,/admin/panel,login,UK,True,False,0.67
2025-03-26 10:50:23,u021,Admin,/admin/panel,download,US,True,True,0.99
2025-03-15 10:34:03,u008,Contractor,/email/inbox,download,CN,False,True,0.14
2025-03-27 19:27:53,u009,Employee,/vpn/connect,download,CN,False,False,0.08
2025-03-20 08:09:14,u095,Guest,/admin/panel,download,UK,False,True,0.11
2025-03-25 08:32:16,u063,Contractor,/vpn/connect,upload,UK,False,False,0.95
2025-04-01 17:09:51,u017,Employee,/admin/panel,delete,DE,False,False,0.56
2025-03-22 22:18:30,u060,Employee,/admin/panel,login,CN,True,False,0.99
2025-03-30 19:06:55,u067,Employee,/admin/panel,logout,US,False,False,0.26
2025-04-04 08:09:41,u083,Contractor,/email/inbox,logout,US,False,False,0.08
2025-03-17 16:08:32,u011,Guest,/admin/panel,login,UK,False,True,0.24
2025-03-19 12:53:56,u056,Contractor,/dev/api,download,US,True,True,0.56
2025-03-21 18:12:09,u022,Employee,/admin/panel,logout,US,True,False,0.75
2025-03-25 06:34:20,u059,Admin,/vpn/connect,logout,IN,False,True,0.12
2025-03-16 20:23:03,u029,Guest,/dev/api,logout,DE,False,False,0.52
2025-04-11 12:17:06,u092,Employee,/dev/api,logout,IN,False,False,0.7
2025-04-09 14:04:06,u010,Guest,/email/inbox,login,DE,False,True,0.83
2025-04-12 21:15:44,u049,Contractor,/email/inbox,delete,DE,False,False,0.23
2025-03-18 05:53:43,u012,Contractor,/files/projectX.docx,delete,UK,True,True,0.26
2025-03-15 22:47:12,u054,Admin,/dev/api,upload,UK,True,False,0.57
