UserID,Action,Timestamp,AssetID,Risk Score,Success,AssetType,RiskLevel,Role,Department,ZeroTrustPolicy,ControlID,ControlType,Status,MITRE_Tactic,Password Age,Role Risk Weight,Enhanced Risk Score,At Risk
user_76,Network Access,2025-01-01 00:00:00,asset_34,27,True,Switch,Low,Manager,Finance,Require MFA,,,,,162,0.7,0.32534281361097006,False
user_55,File Access,2025-01-01 01:00:00,asset_50,27,False,Router,Medium,Admin,IT,Role-based Access,,,,T1086,148,0.9,0.5430336888437448,False
user_56,File Access,2025-01-01 02:00:00,asset_64,4,True,Firewall,Low,Intern,Sales,Require MFA,,,,T1086,29,0.3,0.04037582529202641,False
user_53,Admin Action,2025-01-01 03:00:00,asset_1,6,False,Switch,High,Contractor,Sales,Segregation of Duties,,,,T1071,81,0.6,0.35453699001185035,False
user_13,File Access,2025-01-01 04:00:00,asset_47,20,False,Switch,High,Contractor,Marketing,Segregation of Duties,,,,T1086,88,0.6,0.4047824614863721,False
user_63,Login,2025-01-01 05:00:00,asset_94,98,True,Workstation,Medium,Intern,Sales,Least Privilege,control_2,Least Privilege,Enabled,T1071,71,0.3,0.37215168444218727,False
user_56,Network Access,2025-01-01 06:00:00,asset_64,25,True,Firewall,Low,Intern,Sales,Require MFA,,,,,53,0.3,0.13082783138649062,False
user_76,File Access,2025-01-01 07:00:00,asset_25,83,False,Router,High,Manager,Finance,Require MFA,,,,T1086,168,0.7,0.7017436939224648,True
user_17,Login,2025-01-01 08:00:00,asset_97,83,True,Router,Low,Intern,Sales,Least Privilege,control_2,Least Privilege,Enabled,T1071,153,0.3,0.4183172507194854,False
user_6,Privilege Escalation,2025-01-01 09:00:00,asset_54,54,True,Router,Low,Admin,HR,Least Privilege,control_2,Least Privilege,Enabled,T1098,135,0.9,0.41032673099712214,False
user_51,Admin Action,2025-01-01 10:00:00,asset_15,92,True,Workstation,Medium,Admin,Sales,Require MFA,,,,T1071,138,0.9,0.5288302014558999,False
user_90,Privilege Escalation,2025-01-01 11:00:00,asset_100,80,True,Database,Medium,Manager,Finance,Least Privilege,control_2,Least Privilege,Enabled,T1098,157,0.7,0.4803622820382597,False
user_46,Network Access,2025-01-01 12:00:00,asset_91,85,True,Switch,High,Manager,Finance,Least Privilege,control_2,Least Privilege,Enabled,,119,0.7,0.45305569663111567,False
user_12,Network Access,2025-01-01 13:00:00,asset_68,14,True,Router,Medium,Manager,Finance,Segregation of Duties,,,,,143,0.7,0.264719823937701,False
user_43,Admin Action,2025-01-01 14:00:00,asset_79,96,True,Database,Medium,Manager,Sales,Role-based Access,,,,T1071,77,0.7,0.439461655662773,False
user_89,Admin Action,2025-01-01 15:00:00,asset_96,38,False,Switch,Medium,Admin,Marketing,Least Privilege,control_2,Least Privilege,Enabled,T1071,75,0.9,0.49480277636702225,False
user_86,Login,2025-01-01 16:00:00,asset_13,8,True,Switch,Medium,Employee,Finance,Require MFA,,,,T1071,178,0.5,0.2523108176739462,False
user_15,File Access,2025-01-01 17:00:00,asset_32,41,False,Router,High,Employee,Sales,Least Privilege,control_2,Least Privilege,Enabled,T1086,85,0.5,0.4484002031488065,False
user_62,Privilege Escalation,2025-01-01 18:00:00,asset_75,7,False,Server,Low,Employee,IT,Role-based Access,,,,T1098,180,0.5,0.45151515151515154,False
user_96,Network Access,2025-01-01 19:00:00,asset_13,73,False,Switch,Medium,Manager,Marketing,Role-based Access,,,,,55,0.7,0.5451836803792112,False
user_87,Network Access,2025-01-01 20:00:00,asset_99,69,True,Router,Medium,Contractor,Finance,Segregation of Duties,,,,,165,0.6,0.4393008295242932,False
user_64,Network Access,2025-01-01 21:00:00,asset_13,83,False,Switch,Medium,Manager,IT,Least Privilege,control_2,Least Privilege,Enabled,,37,0.7,0.5553749788386659,False
user_55,Login,2025-01-01 22:00:00,asset_8,90,False,Switch,High,Admin,IT,Role-based Access,,,,T1071,98,0.9,0.6780768579651262,False
user_38,Privilege Escalation,2025-01-01 23:00:00,asset_31,74,False,Database,Low,Intern,Marketing,Segregation of Duties,,,,T1098,24,0.3,0.4469104452344676,False
user_79,File Access,2025-01-02 00:00:00,asset_20,4,False,Firewall,High,Contractor,Sales,Require MFA,,,,T1086,155,0.6,0.43115794819705433,False
user_75,File Access,2025-01-02 01:00:00,asset_60,43,False,Switch,Medium,Manager,Marketing,Require MFA,,,,T1086,46,0.7,0.4442187235483325,False
user_49,Privilege Escalation,2025-01-02 02:00:00,asset_56,42,False,Server,High,Manager,IT,Segregation of Duties,,,,T1098,72,0.7,0.4702386998476384,False
user_98,Network Access,2025-01-02 03:00:00,asset_18,58,True,Server,Medium,Employee,HR,Least Privilege,control_2,Least Privilege,Enabled,,28,0.5,0.23622820382596918,False
user_67,Privilege Escalation,2025-01-02 04:00:00,asset_16,54,False,Database,Low,Admin,IT,Require MFA,,,,T1098,123,0.9,0.5969189097680718,False
user_1,Network Access,2025-01-02 05:00:00,asset_50,46,False,Router,Medium,Admin,IT,Segregation of Duties,,,,,67,0.9,0.5101066531234129,False
user_28,Admin Action,2025-01-02 06:00:00,asset_74,34,False,Server,Low,Admin,Finance,Least Privilege,control_2,Least Privilege,Enabled,T1071,28,0.9,0.4301675977653632,False
user_100,Network Access,2025-01-02 07:00:00,asset_6,86,False,Workstation,High,Intern,Sales,Segregation of Duties,,,,,102,0.3,0.5704249195869308,False
user_96,Privilege Escalation,2025-01-02 08:00:00,asset_57,91,False,Server,High,Manager,Marketing,Role-based Access,,,,T1098,132,0.7,0.6857626544777382,False
user_33,Privilege Escalation,2025-01-02 09:00:00,asset_24,6,False,Router,Medium,Admin,Marketing,Require MFA,,,,T1098,29,0.9,0.34643643135263247,False
user_33,Privilege Escalation,2025-01-02 10:00:00,asset_12,23,False,Switch,High,Admin,Marketing,Require MFA,,,,T1098,164,0.9,0.5487895716945996,False
user_72,Login,2025-01-02 11:00:00,asset_91,100,True,Switch,High,Admin,HR,Require MFA,,,,T1071,14,0.9,0.4145251396648044,False
user_46,Network Access,2025-01-02 12:00:00,asset_96,54,True,Switch,Medium,Manager,Finance,Least Privilege,control_2,Least Privilege,Enabled,,34,0.7,0.2641442356526156,False
user_38,Admin Action,2025-01-02 13:00:00,asset_10,22,False,Firewall,Medium,Intern,Marketing,Segregation of Duties,,,,T1071,159,0.3,0.44017267648552566,False
user_8,Network Access,2025-01-02 14:00:00,asset_64,50,False,Firewall,Low,Contractor,HR,Require MFA,,,,,112,0.6,0.5225071948535636,False
user_87,Privilege Escalation,2025-01-02 15:00:00,asset_12,60,True,Switch,High,Contractor,Finance,Segregation of Duties,,,,T1098,167,0.6,0.4142627391230744,False
user_46,Privilege Escalation,2025-01-02 16:00:00,asset_56,24,True,Server,High,Manager,Finance,Least Privilege,control_2,Least Privilege,Enabled,T1098,143,0.7,0.2950228542407313,False
user_100,Network Access,2025-01-02 17:00:00,asset_50,49,True,Router,Medium,Intern,Sales,Segregation of Duties,,,,,94,0.3,0.2493651599796851,False
user_68,Network Access,2025-01-02 18:00:00,asset_36,22,True,Router,Low,Intern,Marketing,Least Privilege,control_2,Least Privilege,Enabled,,83,0.3,0.15525647536820722,False
user_92,Admin Action,2025-01-02 19:00:00,asset_60,95,False,Switch,Medium,Manager,HR,Segregation of Duties,,,,T1071,168,0.7,0.7381073302861012,True
user_49,Login,2025-01-02 20:00:00,asset_71,59,False,Switch,Low,Manager,IT,Segregation of Duties,,,,T1071,47,0.7,0.4938208904689352,False
user_18,Admin Action,2025-01-02 21:00:00,asset_97,31,True,Router,Low,Intern,IT,Role-based Access,,,,T1071,101,0.3,0.2026409344845099,False
user_7,File Access,2025-01-02 22:00:00,asset_5,90,True,Endpoint,High,Manager,Finance,Least Privilege,control_2,Least Privilege,Enabled,T1086,1,0.7,0.33636363636363636,False
user_3,Privilege Escalation,2025-01-02 23:00:00,asset_91,56,False,Switch,High,Contractor,Marketing,Require MFA,,,,T1098,47,0.6,0.4680633147113595,False
user_92,Admin Action,2025-01-03 00:00:00,asset_75,83,False,Server,Low,Manager,HR,Segregation of Duties,,,,T1071,28,0.7,0.5453191129168783,False
user_20,Admin Action,2025-01-03 01:00:00,asset_20,24,False,Firewall,High,Contractor,Sales,Least Privilege,control_2,Least Privilege,Enabled,T1071,49,0.6,0.3733282546131708,False
user_76,Admin Action,2025-01-03 02:00:00,asset_50,38,False,Router,Medium,Manager,Finance,Require MFA,,,,T1071,153,0.7,0.5486202810225156,False
user_57,File Access,2025-01-03 03:00:00,asset_11,42,True,Switch,Medium,Employee,IT,Role-based Access,,,,T1086,54,0.5,0.21679363467072965,False
user_39,Login,2025-01-03 04:00:00,asset_51,49,True,Workstation,Low,Employee,Finance,Least Privilege,control_2,Least Privilege,Enabled,T1071,53,0.5,0.23688843744709664,False
user_10,Admin Action,2025-01-03 05:00:00,asset_43,22,True,Workstation,Low,Admin,Finance,Least Privilege,control_2,Least Privilege,Enabled,T1071,35,0.9,0.2016251904520061,False
user_21,Login,2025-01-03 06:00:00,asset_55,46,False,Switch,Low,Employee,Marketing,Least Privilege,control_2,Least Privilege,Enabled,T1071,119,0.5,0.5015405451159641,False
user_52,Login,2025-01-03 07:00:00,asset_3,11,False,Router,Low,Admin,Marketing,Least Privilege,control_2,Least Privilege,Enabled,T1071,16,0.9,0.3470628068393432,False
user_46,Network Access,2025-01-03 08:00:00,asset_49,64,True,Endpoint,Low,Manager,Finance,Least Privilege,control_2,Least Privilege,Enabled,,120,0.7,0.3905366514305062,False
user_37,Login,2025-01-03 09:00:00,asset_91,87,True,Switch,High,Employee,IT,Require MFA,,,,T1071,73,0.5,0.37438632131369565,False
user_80,Login,2025-01-03 10:00:00,asset_27,61,False,Switch,Medium,Manager,IT,Segregation of Duties,,,,T1071,175,0.7,0.6428982563060777,False
user_44,Privilege Escalation,2025-01-03 11:00:00,asset_90,55,False,Workstation,High,Employee,Sales,Segregation of Duties,,,,T1098,138,0.5,0.5500423226680211,False
